
# Curve 0 of 1, 100 points
# Curve title: "L(x, A)"
# x y delta_x delta_y type
-10 -10838.6  10  10838.6  i
-9.79798 -8824.07  9.79798  8824.07  i
-9.59596 -7178.02  9.59596  7178.02  i
-9.39394 -5833.07  9.39394  5833.07  i
-9.19192 -4734.14  9.19192  4734.14  i
-8.9899 -3836.22  8.9899  3836.22  i
-8.78788 -3102.56  8.78788  3102.56  i
-8.58586 -2503.09  8.58586  2503.09  i
-8.38384 -2013.29  8.38384  2013.29  i
-8.18182 -1613.07  8.18182  1613.07  i
-7.9798 -1286.07  7.9798  1286.07  i
-7.77778 -1018.88  7.77778  1018.88  i
-7.57576 -800.568  7.57576  800.568  i
-7.37374 -622.189  7.37374  622.189  i
-7.17172 -476.439  7.17172  476.439  i
-6.9697 -357.35  6.9697  357.35  i
-6.76768 -260.044  6.76768  260.044  i
-6.56566 -180.538  6.56566  180.538  i
-6.36364 -115.576  6.36364  115.576  i
-6.16162 -62.4959  6.16162  62.4959  i
-5.9596 -19.1255  5.9596  19.1255  i
-5.75758  16.3116  5.75758 -16.3116  i
-5.55556  45.2666  5.55556 -45.2666  i
-5.35354  68.9253  5.35354 -68.9253  i
-5.15152  88.2564  5.15152 -88.2564  i
-4.94949  104.052  4.94949 -104.052  i
-4.74747  116.958  4.74747 -116.958  i
-4.54545  127.504  4.54545 -127.504  i
-4.34343  136.121  4.34343 -136.121  i
-4.14141  143.162  4.14141 -143.162  i
-3.93939  148.916  3.93939 -148.916  i
-3.73737  153.618  3.73737 -153.618  i
-3.53535  157.461  3.53535 -157.461  i
-3.33333  160.602  3.33333 -160.602  i
-3.13131  163.17  3.13131 -163.17  i
-2.92929  165.27  2.92929 -165.27  i
-2.72727  166.987  2.72727 -166.987  i
-2.52525  168.393  2.52525 -168.393  i
-2.32323  169.545  2.32323 -169.545  i
-2.12121  170.489  2.12121 -170.489  i
-1.91919  171.266  1.91919 -171.266  i
-1.71717  171.905  1.71717 -171.905  i
-1.51515  172.435  1.51515 -172.435  i
-1.31313  172.876  1.31313 -172.876  i
-1.11111  173.246  1.11111 -173.246  i
-0.909091  173.56  0.909091 -173.56  i
-0.707071  173.833  0.707071 -173.833  i
-0.505051  174.073  0.505051 -174.073  i
-0.30303  174.292  0.30303 -174.292  i
-0.10101  174.499  0.10101 -174.499  i
 0.10101  174.701 -0.10101 -174.701  i
 0.30303  174.908 -0.30303 -174.908  i
 0.505051  175.127 -0.505051 -175.127  i
 0.707071  175.367 -0.707071 -175.367  i
 0.909091  175.64 -0.909091 -175.64  i
 1.11111  175.954 -1.11111 -175.954  i
 1.31313  176.324 -1.31313 -176.324  i
 1.51515  176.765 -1.51515 -176.765  i
 1.71717  177.295 -1.71717 -177.295  i
 1.91919  177.934 -1.91919 -177.934  i
 2.12121  178.711 -2.12121 -178.711  i
 2.32323  179.655 -2.32323 -179.655  i
 2.52525  180.807 -2.52525 -180.807  i
 2.72727  182.213 -2.72727 -182.213  i
 2.92929  183.93 -2.92929 -183.93  i
 3.13131  186.03 -3.13131 -186.03  i
 3.33333  188.598 -3.33333 -188.598  i
 3.53535  191.739 -3.53535 -191.739  i
 3.73737  195.582 -3.73737 -195.582  i
 3.93939  200.284 -3.93939 -200.284  i
 4.14141  206.038 -4.14141 -206.038  i
 4.34343  213.079 -4.34343 -213.079  i
 4.54545  221.696 -4.54545 -221.696  i
 4.74747  232.242 -4.74747 -232.242  i
 4.94949  245.148 -4.94949 -245.148  i
 5.15152  260.944 -5.15152 -260.944  i
 5.35354  280.275 -5.35354 -280.275  i
 5.55556  303.933 -5.55556 -303.933  i
 5.75758  332.888 -5.75758 -332.888  i
 5.9596  368.325 -5.9596 -368.325  i
 6.16162  411.696 -6.16162 -411.696  i
 6.36364  464.776 -6.36364 -464.776  i
 6.56566  529.738 -6.56566 -529.738  i
 6.76768  609.244 -6.76768 -609.244  i
 6.9697  706.55 -6.9697 -706.55  i
 7.17172  825.639 -7.17172 -825.639  i
 7.37374  971.389 -7.37374 -971.389  i
 7.57576  1149.77 -7.57576 -1149.77  i
 7.77778  1368.08 -7.77778 -1368.08  i
 7.9798  1635.27 -7.9798 -1635.27  i
 8.18182  1962.27 -8.18182 -1962.27  i
 8.38384  2362.49 -8.38384 -2362.49  i
 8.58586  2852.29 -8.58586 -2852.29  i
 8.78788  3451.76 -8.78788 -3451.76  i
 8.9899  4185.42 -8.9899 -4185.42  i
 9.19192  5083.34 -9.19192 -5083.34  i
 9.39394  6182.27 -9.39394 -6182.27  i
 9.59596  7527.22 -9.59596 -7527.22  i
 9.79798  9173.27 -9.79798 -9173.27  i
 10  11187.8 -10 -11187.8  i

