
# Curve 0 of 1, 100 points
# Curve title: "f(x) + sinh(x)"
# x y delta_x delta_y type
-1  1.41538e+23  1 -1.41538e+23  o
-0.585859  1.41538e+23  0.585859 -1.41538e+23  o
-0.171717  1.41538e+23  0.171717 -1.41538e+23  o
 0.242424  1.41538e+23 -0.242424 -1.41538e+23  o
 0.656566  1.41538e+23 -0.656566 -1.41538e+23  o
 1.07071  1.41538e+23 -1.07071 -1.41538e+23  o
 1.48485  1.41538e+23 -1.48485 -1.41538e+23  o
 1.89899  1.41538e+23 -1.89899 -1.41538e+23  o
 2.31313  1.41538e+23 -2.31313 -1.41538e+23  o
 2.72727  1.41538e+23 -2.72727 -1.41538e+23  o
 3.14141  1.41538e+23 -3.14141 -1.41538e+23  o
 3.55556  1.41538e+23 -3.55556 -1.41538e+23  o
 3.9697  1.41538e+23 -3.9697 -1.41538e+23  o
 4.38384  1.41538e+23 -4.38384 -1.41538e+23  o
 4.79798  1.41538e+23 -4.79798 -1.41538e+23  o
 5.21212  1.41538e+23 -5.21212 -1.41538e+23  o
 5.62626  1.41538e+23 -5.62626 -1.41538e+23  o
 6.0404  1.41538e+23 -6.0404 -1.41538e+23  o
 6.45455  1.41538e+23 -6.45455 -1.41538e+23  o
 6.86869  1.41538e+23 -6.86869 -1.41538e+23  o
 7.28283  1.41538e+23 -7.28283 -1.41538e+23  o
 7.69697  1.41538e+23 -7.69697 -1.41538e+23  o
 8.11111  1.41538e+23 -8.11111 -1.41538e+23  o
 8.52525  1.41538e+23 -8.52525 -1.41538e+23  o
 8.93939  1.41538e+23 -8.93939 -1.41538e+23  o
 9.35354  1.41538e+23 -9.35354 -1.41538e+23  o
 9.76768  1.41538e+23 -9.76768 -1.41538e+23  o
 10.1818  1.41538e+23 -10.1818 -1.41538e+23  o
 10.596  1.41538e+23 -10.596 -1.41538e+23  o
 11.0101  1.41538e+23 -11.0101 -1.41538e+23  o
 11.4242  1.41538e+23 -11.4242 -1.41538e+23  o
 11.8384  1.41538e+23 -11.8384 -1.41538e+23  o
 12.2525  1.41538e+23 -12.2525 -1.41538e+23  o
 12.6667  1.41538e+23 -12.6667 -1.41538e+23  o
 13.0808  1.41538e+23 -13.0808 -1.41538e+23  o
 13.4949  1.41538e+23 -13.4949 -1.41538e+23  o
 13.9091  1.41538e+23 -13.9091 -1.41538e+23  o
 14.3232  1.41538e+23 -14.3232 -1.41538e+23  o
 14.7374  1.41538e+23 -14.7374 -1.41538e+23  o
 15.1515  1.41538e+23 -15.1515 -1.41538e+23  o
 15.5657  1.41538e+23 -15.5657 -1.41538e+23  o
 15.9798  1.41538e+23 -15.9798 -1.41538e+23  o
 16.3939  1.41538e+23 -16.3939 -1.41538e+23  o
 16.8081  1.41538e+23 -16.8081 -1.41538e+23  o
 17.2222  1.41538e+23 -17.2222 -1.41538e+23  o
 17.6364  1.41538e+23 -17.6364 -1.41538e+23  o
 18.0505  1.41538e+23 -18.0505 -1.41538e+23  o
 18.4646  1.41538e+23 -18.4646 -1.41538e+23  o
 18.8788  1.41538e+23 -18.8788 -1.41538e+23  o
 19.2929  1.41538e+23 -19.2929 -1.41538e+23  o
 19.7071  1.41538e+23 -19.7071 -1.41538e+23  o
 20.1212  1.41538e+23 -20.1212 -1.41538e+23  o
 20.5354  1.41538e+23 -20.5354 -1.41538e+23  o
 20.9495  1.41538e+23 -20.9495 -1.41538e+23  o
 21.3636  1.41538e+23 -21.3636 -1.41538e+23  o
 21.7778  1.41538e+23 -21.7778 -1.41538e+23  o
 22.1919  1.41538e+23 -22.1919 -1.41538e+23  o
 22.6061  1.41538e+23 -22.6061 -1.41538e+23  o
 23.0202  1.41538e+23 -23.0202 -1.41538e+23  o
 23.4343  1.41538e+23 -23.4343 -1.41538e+23  o
 23.8485  1.41538e+23 -23.8485 -1.41538e+23  o
 24.2626  1.41538e+23 -24.2626 -1.41538e+23  o
 24.6768  1.41538e+23 -24.6768 -1.41538e+23  o
 25.0909  1.41538e+23 -25.0909 -1.41538e+23  o
 25.5051  1.41538e+23 -25.5051 -1.41538e+23  o
 25.9192  1.41538e+23 -25.9192 -1.41538e+23  o
 26.3333  1.41538e+23 -26.3333 -1.41538e+23  o
 26.7475  1.41538e+23 -26.7475 -1.41538e+23  o
 27.1616  1.41538e+23 -27.1616 -1.41538e+23  o
 27.5758  1.41538e+23 -27.5758 -1.41538e+23  o
 27.9899  1.41538e+23 -27.9899 -1.41538e+23  o
 28.404  1.41538e+23 -28.404 -1.41538e+23  o
 28.8182  1.41538e+23 -28.8182 -1.41538e+23  o
 29.2323  1.41538e+23 -29.2323 -1.41538e+23  o
 29.6465  1.41538e+23 -29.6465 -1.41538e+23  o
 30.0606  1.41538e+23 -30.0606 -1.41538e+23  o
 30.4747  1.41538e+23 -30.4747 -1.41538e+23  o
 30.8889  1.41538e+23 -30.8889 -1.41538e+23  o
 31.303  1.41538e+23 -31.303 -1.41538e+23  o
 31.7172  1.41538e+23 -31.7172 -1.41538e+23  o
 32.1313  1.41538e+23 -32.1313 -1.41538e+23  o
 32.5455  1.41538e+23 -32.5455 -1.41538e+23  o
 32.9596  1.41538e+23 -32.9596 -1.41538e+23  o
 33.3737  1.41538e+23 -33.3737 -1.41538e+23  o
 33.7879  1.41538e+23 -33.7879 -1.41538e+23  o
 34.202  1.41538e+23 -34.202 -1.41538e+23  o
 34.6162  1.41538e+23 -34.6162 -1.41538e+23  o
 35.0303  1.41538e+23 -35.0303 -1.41538e+23  o
 35.4444  1.41538e+23 -35.4444 -1.41538e+23  o
 35.8586  1.41538e+23 -35.8586 -1.41538e+23  o
 36.2727  1.41538e+23 -36.2727 -1.41538e+23  o
 36.6869  1.41538e+23 -36.6869 -1.41538e+23  o
 37.101  1.41538e+23 -37.101 -1.41538e+23  o
 37.5152  1.41538e+23 -37.5152 -1.41538e+23  o
 37.9293  1.41538e+23 -37.9293 -1.41538e+23  o
 38.3434  1.41538e+23 -38.3434 -1.41538e+23  o
 38.7576  1.41538e+23 -38.7576 -1.41538e+23  o
 39.1717  1.41538e+23 -39.1717 -1.41538e+23  o
 39.5859  1.41538e+23 -39.5859 -1.41538e+23  o
 40  1.41538e+23 -40 -1.41538e+23  o

